["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Graphical User Interface Programming", "Objects and Classes", "Concurrency"]	["Objects and Classes", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]
["Collections", "Concurrency", "Graphical User Interface Programming"]	["Collections", "Concurrency", "Generic Programming"]
["Concurrency", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Concurrency"]
["Concurrency", "Exceptions, Assertions, and Logging", "Generic Programming"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["User Interface Components with Swing", "Objects and Classes", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Generic Programming", "Objects and Classes"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Concurrency", "Fundamental Programming Structures in Java", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Exceptions, Assertions, and Logging", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]	["Inheritance", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Collections", "Concurrency", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Collections", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Concurrency", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Collections", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Generic Programming"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Objects and Classes", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Collections", "Inheritance", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Collections"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Collections"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]
["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes", "User Interface Components with Swing"]	["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Concurrency", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Concurrency", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
